Имя перечисления	Значения	Представление
	Australia/Darwin	
	Australia/North	
	Australia/South	
	Australia/Yancowinna	
	AET	
	Antarctica/DumontDUrville	
	Asia/Yakutsk	
	Australia/ACT	
	Australia/Brisbane	
	Australia/Canberra	
	Australia/Currie	
	Australia/Hobart	
	Australia/Lindeman	
	Australia/Melbourne	
	Australia/NSW	
	Australia/Queensland	
	Australia/Sydney	
	Australia/Tasmania	
	Australia/Victoria	
	Etc/GMT-10	
	Pacific/Chuuk	
	Pacific/Guam	
	Pacific/Port_Moresby	
	Pacific/Saipan	
	Pacific/Truk	
	Pacific/Yap	
	Australia/LHI	
	Australia/Lord_Howe	
	Antarctica/Macquarie	
	Asia/Sakhalin	
	Asia/Vladivostok	
	Etc/GMT-11	
	Pacific/Efate	
	Pacific/Guadalcanal	
	Pacific/Kosrae	
	Pacific/Noumea	
	Pacific/Pohnpei	
	Pacific/Ponape	
	SST	
	Pacific/Norfolk	
	Antarctica/McMurdo	
	Antarctica/South_Pole	
	Asia/Anadyr	
	Asia/Kamchatka	
	Asia/Magadan	
	Etc/GMT-12	
	Kwajalein	
	NST	
	NZ	
	Pacific/Auckland	
	Pacific/Fiji	
	Pacific/Funafuti	
	Pacific/Kwajalein	
	Pacific/Majuro	
	Pacific/Nauru	
	Pacific/Tarawa	
	Pacific/Wake	
	Pacific/Wallis	
	NZ-CHAT	
	Pacific/Chatham	
	Etc/GMT-13	
	MIT	
	Pacific/Apia	
	Pacific/Enderbury	
	Pacific/Tongatapu	
	Etc/GMT-14	
	Pacific/Kiritimati	
		
components	additional_admin_functions	Установить утилиту административной консоли
	client_full	Установить толстый клиент и возможность работы в конфигураторе
	client_thin	Установить тонкий клиент (без возможности работы с файловым вариантом информационной базы)
	client_thin_fib	Установить тонкий клиент
	config_storage_server	Установить сервер хранилища конфигураций
	server	Установить кластер серверов «1С:Предприятия»
	server_admin	Установить сервер администрирования кластера серверов «1С:Предприятия»
	ws	Установить модули расширения веб-сервера
		
language	ar	
	az	
	bg	
	de	
	el	
	es	
	fr	
	hu	
	hy	
	it	
	ka	
	kk	
	lt	
	lv	
	pl	
	ro	
	ru	
	tk	
	tr	
	uk	
	vi	
	zh	

ones_version	8.3.22.1672	
	8.3.21.1607	
	8.3.17.2733	
	8.3.18.1902	
	8.3.20.2076	
	8.3.19.1665	
	8.3.19.1659	
	8.3.18.1894	
	8.3.17.2665	
	8.3.21.1484	
	8.3.20.2039	
	8.3.20.1996	
	8.3.21.1393	
	8.3.20.1914	
	8.3.20.1838	
	8.3.21.1302	
	8.3.20.1789	
	8.3.19.1522	
	8.3.18.1779	
	8.3.20.1710	
	8.3.20.1674	
	8.3.19.1467	
	8.3.18.1741	
	8.3.20.1613	
	8.3.19.1417	
	8.3.18.1698	
	8.3.20.1590	
	8.3.19.1399	
	8.3.19.1351	
	8.3.18.1661	
	8.3.20.1549	
	8.3.19.1264	
	8.3.18.1616	
	8.3.19.1229	
	8.3.19.1150	
	8.3.18.1563	
	8.3.17.2306	
	8.3.18.1520	
	8.3.17.2256	
	8.3.18.1483	
	8.3.16.1973	
	8.3.17.2231	
	8.3.17.2171	
	8.3.18.1363	
	8.3.18.1334	
	8.3.17.1989	
	8.3.18.1289	
	8.3.16.1876	
	8.3.18.1208	
	8.3.17.1851	
	8.3.16.1814	
	8.3.18.1201	
	8.3.16.1810	
	8.3.17.1846	
	8.3.17.1823	
	8.3.16.1791	
	8.3.15.2107	
	8.3.18.1128	
	8.3.17.1549	
	8.3.16.1659	
	8.3.17.1496	
	8.3.15.1985	
	8.3.16.1502	
	8.3.17.1386	
	8.3.14.2095	
	8.3.15.1958	
	8.3.16.1359	
	8.3.16.1296	
	8.3.16.1224	
	8.3.16.1148	
	8.3.15.1869	
	8.3.16.1063	
	8.3.15.1830	
	8.3.15.1778	
	8.3.14.1993	
	8.3.16.1030	
	8.3.15.1747	
	8.3.14.1976	
	8.3.15.1700	
	8.3.15.1656	
	8.3.14.1944	
	8.3.15.1565	
	8.3.13.1926	
	8.3.15.1534	
	8.3.15.1489	
	8.3.14.1854	
	8.3.12.1924	
	8.3.14.1779	
	8.3.14.1694	
	8.3.13.1865	
	8.3.14.1630	
	8.3.13.1809	
	8.3.12.1855	
	8.3.14.1565	
	8.3.13.1690	
	8.3.13.1644	
	8.3.12.1790	
	8.3.13.1513	
	8.3.12.1714	
	8.3.12.1685	
	8.3.12.1616	
	8.3.12.1595	
	8.3.12.1567	
	8.3.12.1529	
	8.3.12.1469	
	8.3.12.1440	
	8.3.11.3133	
	8.3.10.2772	
	8.3.12.1412	
	8.3.11.3034	
	8.3.10.2753	
	8.3.11.2954	
	8.3.11.2924	
	8.3.11.2899	
	8.3.10.2699	
	8.3.11.2867	
	8.3.10.2667	
	8.3.10.2650	
	8.3.10.2639	
	8.3.10.2580	
	8.3.10.2561	
	8.3.9.2309	
	8.3.8.2442	
	8.3.10.2505	
	8.3.10.2466	
	8.3.10.2375	
	8.3.10.2299	
	8.3.10.2252	
	8.3.9.2233	
	8.3.9.2170	
	8.3.9.2033	
	8.3.8.2322	
	8.3.9.1850	
	8.3.8.2197	
	8.3.9.1818	
	8.3.8.2167	
	8.3.8.2137	
	8.3.8.2088	
	8.3.8.2054	
	8.3.8.2027	
	8.3.8.1964	
	8.3.8.1933	
	8.3.8.1861	
	8.3.8.1784	
	8.3.8.1747	
	8.3.8.1675	
	8.3.8.1652	
	8.3.7.2027	
	8.3.6.2530	
	8.3.7.2008	
	8.3.6.2524	
	8.3.7.1993	
	8.3.7.1970	
	8.3.7.1949	
	8.3.7.1917	
	8.3.7.1901	
	8.3.7.1873	
	8.3.7.1860	
	8.3.7.1845	
	8.3.7.1831	
	8.3.7.1805	
	8.3.7.1790	
	8.3.6.2449	
	8.3.7.1776	
	8.3.6.2421	
	8.3.7.1759	
	8.3.6.2390	
	8.3.6.2363	
	8.3.6.2332	
	8.3.6.2299	
	8.3.6.2237	
	8.3.6.2152	
	8.3.5.1625	
	8.3.6.2100	
	8.3.5.1596	
	8.3.6.2076	
	8.3.6.2041	
	8.3.6.2014	
	8.3.6.1999	
	8.3.5.1570	
	8.3.6.1977	
	8.3.5.1517	
	8.3.5.1486	
	8.3.5.1482	
	8.3.5.1460	
	8.3.5.1443	
	8.3.5.1428	
	8.3.5.1383	
	8.3.5.1248	
	8.3.5.1231	
	8.3.5.1186	
	8.3.5.1146	
	8.3.5.1119	
	8.3.5.1098	
	8.3.5.1088	
	8.3.5.1068	
	8.3.4.496	
	8.3.4.482	
	8.3.4.465	
	8.3.4.437	
	8.3.4.408	
	8.3.4.389	
	8.3.4.365	
	8.3.3.721	
	8.3.3.715	
	8.3.3.687	
	8.3.3.658	
	8.3.3.641	
	8.2.19.130	
	8.1.15.14	
	8.0.18.2	
