Реквизит	Описание	Имя в API	Значение по умолчанию	Regex	Идентификатор	Отображать	Обязателен для заполнения	ТипЗначения	Перечисление	Порядок
Имя хоста	Имя хоста на которой расположена нода кластера Postgres	host_name			b4541505-bfad-4dfe-9004-cc0ed3f4ac4b	Да	Да	строка		45
Версия PG	Мажорная версия используемой Postgres	postgres_server_version			f7326c18-95e8-4a29-b029-f9e218f778a1	Да	Да	строка	postgres_server_version	46
Путь к данным	Путь по которому будут располагаться базы Postgres	postgres_server_work_dir	/data/postgresql		f1dcbde3-d796-4fe2-a6df-15e26101e7aa	Да	Нет	строка		47
Порт Postgres	Порт на котором будет отвечать Postgres	postgres_port	5432		4e545ebd-b532-46b6-bd71-1f79d05c6281	Да	Нет	число		48
Пароль postgres	Пароль от учетной записи postgres (аналог SA у MSSQL)	postgres_pass			3deb7d7c-20e2-4ecd-9b32-9dc75e2fc29b	Да	Да	строка		49
Используемый IP	IP-адрес, который слушает Postgres для приема соединений. По умолчанию - * (любой)	listen_addresses	*		45d4b1ea-4e67-4ff7-b9b1-803857c551f7	Да	Нет	строка		50
Количество соединений	Количество одновременных соединений с Postgres. По умолчанию - 1000	max_connections	1000		65afe947-5c27-45f9-bbaf-b69587de8bb0	Да	Нет	число		51
Кластерное имя	Общее DNS-имя для кластера. По нему всегда идет обращение к базам	linux_cluster_name			1af9fa3d-088f-48a7-9be0-7f51645499e1	Да	Да	строка		52
Кластерный IP	Общее ip-адрес для кластера. Он будет передаваться между data-нодами с помощью keepalived	linux_cluster_ip			71530207-838e-465a-991c-6c59133df0e8	Да	Да	строка		53
Имя монитор-ноды	Имя сервера, где находится монитор-нода, обеспечивающая отработку splitbrains	monitor_node			ad698972-2846-4296-926f-88322e3fc17d	Да	Да	строка		54
Порт Postgres	Порт на котором будет отвечать Postgres монитор-ноды	monitor_port	5432		277ea01f-05df-4480-8961-0aaa04af24ec	Да	Нет	число		55
Путь к дампу БД	Путь к файлу дампа БД, который надо восстанавливать	db_dump_path			0edb7cf0-ac73-4a49-ab1b-8030e07e5784	Да	Да	строка		56
Имя домена	Домен компании	domain			ce90a7de-b6b2-4799-bad7-7d4096aa1aec	Да	Да	строка		57
Часовой пояс	Часовой пояс для выставления времени	time_zone	Europe/Moscow		68cc6187-c3d6-4d54-8810-fa3aa4754b04	Да	Нет	строка	time_zone	58
										
Имя ноды	DNS-имя ноды.	node_name			3abd00a5-bfa9-4cea-bcdf-ef0ccbcd89d5	Да	Да	строка		60
Центральный сервер	Признак центральной ноды. Если True - значит эта нода помечается как центральный сервер	central_server	true		13a98c2a-d4b2-4c87-a81d-b0aaa8bfbda6	Да	Нет	булево		61
Безопасный расход памяти на один вызов	Безопасный расход памяти на один вызов	safety_memory_use_for_one_call	0		6aebfdc0-3387-45d0-a166-f14b201d14f1	Да	Нет	число		62
Критический объем памяти процессов	Критический объем памяти процессов	critical_memory_size_for_process	0		ff0a925b-8f64-4f87-a07f-8e46e1fb7029	Да	Нет	число		63
Временно допустимый объем памяти процессов	Временно допустимый объем памяти процессов	temporally_allowed_size_for_process	0		5e19060c-d5c1-46d6-bfbe-94a73b10d9b2	Да	Нет	число		64
Интервал превышения допустимого объема памяти процессов	Интервал превышения допустимого объема памяти процессов	process_memory_exceed_interval	300		73d7f027-1a18-4575-a425-3be086f559af	Да	Нет	число		65
Количество ИБ на процесс	По умолчанию - 8. (Другие значения доступны только для лицензии уровня КОРП) Количество информационных баз, соединения с которыми могут обслуживаться одним рабочим процессом данного сервера. Значение 0 означает, что ограничение не установлено. Если количество информационных баз превысит это заданное количество кластер серверов создаст на этом рабочем сервере дополнительный рабочий процесс	number_of_is_per_process	8		095e54e2-2816-485a-8de1-4070c2f39f37	Да	Нет	число		66
Количество соединений на процесс	Начиная с платформы версии 8.3.15 значение по умолчанию устанавливается 256 соединений на процесс. Другие значения доступны как для лицензий уровня КОРП, так и ПРОФ Количество соединений с информационными базами, которые может обслуживать один рабочий процесс данного сервера. Значение 0 означает, что ограничение не установлено. Если количество соединений, обслуживаемых рабочим процессом, превысит это количество R09; кластер серверов создаст на этом рабочем сервере дополнительный рабочий процесс	number_of_connections_per_process	256		3f00ef2d-1c5f-46b1-86cc-a6a9f6a6aa19	Да	Нет	число		67
Login для ssh	Имя пользователя, который ansible использует для ssh-соединений	ansible_user			0fa0a2c4-8e1c-4684-aba9-fa18ffa4a01a	Да	Да	строка		68
Пароль для ssh	Пароль, который ansible использует для ssh-соединений	ansible_ssh_pass			e71690b8-33f1-4e39-8fab-04c3e465402d	Да	Да	строка		69
Пароль для ssh	Пароль, который ansible использует для получения повышенных привилегий на целевом сервере при настройке и установке софта	ansible_become_password			67c96fbe-cdf1-4586-a609-cebb256c1aaa	Да	Да	строка		70
IP-адрес	IP-адрес VM	host_ip			8c2761c7-3856-459c-89b9-4a6f3f530e70	Да	Да	строка		71
Имя хоста	Имя хоста на которой расположена нода кластера 1С	host_name			ed9b18f4-6dc5-4b87-b160-6b0d86cba3c8	Да	Да	строка		72
Имя сервиса	Имя сервиса. Используется для формирования имени кластера, в windows еще используется для названия службы	service_name			eccab2fa-a6f8-4bc2-8cc9-be286ecca1a3	Да	Да	строка		73
Версия платформы	Версия платформы которая будет использоваться для установки	ones_version			f7b3df90-a1ac-49f6-93f8-c474747e2978	Да	Да	строка	ones_version	74
Имя базы в 1С	Имя информационной базы в кластере 1С	ones_base_name			9b981c02-b92e-4ba1-9cfa-64602d4ffdb6	Да	Да	строка		75
Имя базы в Postgres	Имя базы в кластере Postgres. Должна существовать на момент создания базы кластера 1С	db_name			3155cb6a-5ca7-4f35-99e0-b2896ef69849	Да	Да	строка		76
Кластерное имя Postgres	Общее DNS-имя используемое кластером Postgres для работы	postgres_cluster_name			5f112b43-6494-46af-a1ee-706ad2f6b420	Да	Да	строка		77
Пароль от Postgres	Пароль для подключению к базе Postgres. Имя пользователя по умолчанию - postgres	postgres_pass			f2c07df8-e4ee-4a25-9979-238f70ee9ed1	Да	Да	строка		78
URL хранилища	URL хранилища где хранятся инсталляционные пакеты 1С	ones_binary_url			730d021d-d9d5-4207-8bd2-7514a4e8e841	Да	Да	строка		79
Модули установки	"Список модулей для установки:

additional_admin_functions - Установить утилиту административной консоли.
client_full - Установить толстый клиент и возможность работы в конфигураторе.
client_thin - Установить тонкий клиент (без возможности работы с файловым вариантом информационной базы).
config_storage_server - Установить сервер хранилища конфигураций.
server - Установить кластер серверов «1С:Предприятия».
server_admin - Установить сервер администрирования кластера серверов «1С:Предприятия».
ws - Установить модули расширения веб-сервера"	components			b28e5017-3b46-468e-879a-b21a30c4c885	Да	Да	СписокЗначений	components	80
Язык интерфейса	"Установить интерфейс приложения на языке, соответствующего указанному идентификатору:

ar - Арабский
az - Азербайджанский
bg - Болгарский
de - Немецкий
el - Греческий
es - Испанский
fr - Французский
hu - Венгерский
hy - Армянский
it - Итальянский
ka - Грузинский
kk - Казахский
lt - Литовский
lv - Латышский
pl - Польский
ro - Румынский
ru - Русский
tk - Туркменский
tr - Турецкий
uk - Украинский
vi - Вьетнамский
zh - Китайский"	language			9c3adca0-be95-4055-be9a-851d1f85a956	Да	Да	строка	language	81
										
ID задачи	ID задачи для идентификации ее в будущем	task_id			47d26f23-c2af-4328-a611-7007d612d203	Да		строка		83
Имя шага	Имя шага для пользователя	step_name			7e14aa53-06cb-46a5-8b51-09610f9bc047	Да		строка		84
ID шага	ID шага для идентификации	step_id		^[a-z0-9-_]+$	d61fa767-baa7-488c-a2c1-1afb047a6baa	Да		строка		85
Номер шага	Номер шага для сортировки	step_number			25cdb170-89a0-442d-befe-c49c9ed17bc2	Да		число		86
Наименование задачи	Наименование задачи	task_name			edb64bc7-6001-48a7-b537-f809b22aa80f	Да		строка		87
Состояния задачи	"Список возможных статусов по задаче:

start - Задача успешно стартовала
in proccess - Задача исполняется. Пока этот статус в резерве, возможно будет использовать для длинных задач
successful - Задача успешно завершена
fail - Задача завершилась с ошибкой"	task_status			9b06298d-aeae-4458-84dc-7ee788c8b08e	Да		строка		88
										
Array of strings or integers (Location)	Array of strings or integers (Location)	loc			b842ac32-438f-4d57-9592-d1364c9517d1	Да		СписокЗначений		90
Message	Message	msg			fbad0f5a-879b-4968-83a2-0184ee2fd100	Да		строка		91
Error Type	Error Type	type			15b59ccb-8302-40b8-b310-9d2b7d7604d8	Да		строка		92
